MT,RG,PRIX,BR,INV,PUB,FV,TPUB,VENTES
369,118,59,9,17,89,177,225,5439
476,138,71,18,4,63,279,206,5149
432,152,73,16,-50,16,245,309,4704
418,135,79,35,142,74,270,83,5036
383,104,60,21,-45,32,201,298,4110
554,138,81,20,42,93,324,161,6180
320,147,66,15,10,48,154,305,4888
268,129,57,29,89,51,166,263,4290
359,106,69,27,71,74,196,414,5397
461,132,82,27,-18,91,267,170,5272
420,136,70,10,8,91,213,429,4989
536,111,73,27,128,74,296,273,5927
311,143,67,22,-25,27,181,60,4033
517,142,74,27,27,75,307,345,6124
332,140,60,11,61,21,180,247,4708
336,136,60,25,-30,40,213,328,4627
394,146,59,13,143,52,209,407,4872
415,148,69,8,47,29,207,80,5151
